OBJECTID,ADDRESS,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,TOWN,TOWN_ID,ZIPCODE,STATUS
323080166,393 LINCOLN STREET,393,LINCOLN STREET,,,,WALTHAM,308,02451,ACTIVE
323080172,410 LINCOLN STREET,410,LINCOLN STREET,,,,WALTHAM,308,02451,ACTIVE
323080188,464 LINCOLN STREET,464,LINCOLN STREET,,,,WALTHAM,308,02451,ACTIVE
323080202,549 LINCOLN STREET,549,LINCOLN STREET,,,,WALTHAM,308,02451,LINKED
323080203,550 LINCOLN STREET,550,LINCOLN STREET,,,,WALTHAM,308,02451,ACTIVE
323081172,1123 MAIN STREET,1123,MAIN STREET,,,,WALTHAM,308,02451,LINKED
323081159,1097 MAIN STREET,1097,MAIN STREET,,,,WALTHAM,308,02451,LINKED
323081163,1101 MAIN STREET,1101,MAIN STREET,,,,WALTHAM,308,02451,ACTIVE
323081166,1111 MAIN STREET,1111,MAIN STREET,,,,WALTHAM,308,02451,ACTIVE
323081174,1125 MAIN STREET,1125,MAIN STREET,,,,WALTHAM,308,02451,LINKED
323081199,1199 MAIN STREET,1199,MAIN STREET,,,,WALTHAM,308,02451,ACTIVE
323081202,1214 MAIN STREET,1214,MAIN STREET,,,,WALTHAM,308,02451,ACTIVE
323081214,1265 MAIN STREET,1265,MAIN STREET,,,,WALTHAM,308,02451,INACTIVE
323082198,350 MOODY STREET,350,MOODY STREET,,,,WALTHAM,308,02453,ACTIVE
323082192,342-348 MOODY STREET,342-348,MOODY STREET,,,,WALTHAM,308,02453,ACTIVE
323082195,346 MOODY STREET,346,MOODY STREET,,,,WALTHAM,308,02453,ACTIVE
323082197,349 MOODY STREET,349,MOODY STREET,,,,WALTHAM,308,02453,LINKED
323082204,361 MOODY STREET,361,MOODY STREET,,,,WALTHAM,308,02453,LINKED
323082210,366 MOODY STREET,366,MOODY STREET,,,,WALTHAM,308,02453,LINKED
323083205,50 OLD LEXINGTON ROAD,50,OLD LEXINGTON ROAD,,,,WALTHAM,308,02452,ACTIVE
323083171,46 OAKLEY LANE,46,OAKLEY LANE,,,,WALTHAM,308,02452,ACTIVE
323083187,17 OLD CONANT ROAD,17,OLD CONANT ROAD,,,,WALTHAM,308,01773,ACTIVE
323083196,83 OLD COUNTY ROAD,83,OLD COUNTY ROAD,,,,WALTHAM,308,01773,ACTIVE
323083215,14 ORANGE STREET,14,ORANGE STREET,,,,WALTHAM,308,02453,ACTIVE
323083216,14-16 ORANGE STREET,14-16,ORANGE STREET,,,,WALTHAM,308,02453,ACTIVE
323084186,53 PROSPECT HILL ROAD,53,PROSPECT HILL ROAD,,,,WALTHAM,308,02451,LINKED
323084169,180 PRINCETON AVENUE,180,PRINCETON AVENUE,,,,WALTHAM,308,02451,ACTIVE
323084174,6 PRISCILLA LANE,6,PRISCILLA LANE,,,,WALTHAM,308,02451,ACTIVE
323084182,11 PROSPECT HILL ROAD,11,PROSPECT HILL ROAD,,,,WALTHAM,308,02451,ACTIVE
323084198,115 PROSPECT HILL ROAD,115,PROSPECT HILL ROAD,,,,WALTHAM,308,02451,ACTIVE
323084201,141 PROSPECT HILL ROAD,141,PROSPECT HILL ROAD,,,,WALTHAM,308,02451,ACTIVE
323084203,151 PROSPECT HILL ROAD,151,PROSPECT HILL ROAD,,,,WALTHAM,308,02451,ACTIVE
323085179,258 ROBBINS STREET,258,ROBBINS STREET,,,,WALTHAM,308,02453,LINKED
323085129,187 ROBBINS STREET,187,ROBBINS STREET,,,,WALTHAM,308,02453,ACTIVE
323085137,194 ROBBINS STREET,194,ROBBINS STREET,,,,WALTHAM,308,02453,ACTIVE
323085177,256 ROBBINS STREET,256,ROBBINS STREET,,,,WALTHAM,308,02453,LINKED
323073447,76 CHARLES RIVER ROAD,76,CHARLES RIVER ROAD,,CHARLESBANK GARDEN APARTMENTS,,WALTHAM,308,02453,LINKED
323074337,65 CLEMATIS AVENUE,65,CLEMATIS AVENUE,,,,WALTHAM,308,02453,ACTIVE
323074348,100 CLEMATIS AVENUE,100,CLEMATIS AVENUE,,,,WALTHAM,308,02453,ACTIVE
323074349,101 CLEMATIS AVENUE,101,CLEMATIS AVENUE,,,,WALTHAM,308,02453,LINKED
323074356,3 CLEMENTS ROAD,3,CLEMENTS ROAD,,,,WALTHAM,308,02453,ACTIVE
323074358,8 CLEMENTS ROAD,8,CLEMENTS ROAD,,,,WALTHAM,308,02453,ACTIVE
323074359,9 CLEMENTS ROAD,9,CLEMENTS ROAD,,,,WALTHAM,308,02453,ACTIVE
323074371,32 CLEMENTS ROAD,32,CLEMENTS ROAD,,,,WALTHAM,308,02453,ACTIVE
323074375,40 CLEMENTS ROAD,40,CLEMENTS ROAD,,,,WALTHAM,308,02453,ACTIVE
323074376,43 CLEMENTS ROAD,43,CLEMENTS ROAD,,,,WALTHAM,308,02453,ACTIVE
323074381,53 CLEMENTS ROAD,53,CLEMENTS ROAD,,,,WALTHAM,308,02453,ACTIVE
323070608,71 ASH STREET,71,ASH STREET,,,,WALTHAM,308,02453,LINKED
323070647,153 ASH STREET,153,ASH STREET,,,,WALTHAM,308,02453,ACTIVE
323071618,62 BENNETT STREET,62,BENNETT STREET,,,,WALTHAM,308,02453,ACTIVE
323071640,40 BERKLEY STREET,40,BERKLEY STREET,,,,WALTHAM,308,02451,ACTIVE
323071641,47 BERKLEY STREET,47,BERKLEY STREET,,,,WALTHAM,308,02451,ACTIVE
323071646,70 BERKLEY STREET,70,BERKLEY STREET,,,,WALTHAM,308,02451,ACTIVE
323071651,90 BERKLEY STREET,90,BERKLEY STREET,,,,WALTHAM,308,02451,ACTIVE
323071652,98 BERKLEY STREET,98,BERKLEY STREET,,,,WALTHAM,308,02451,ACTIVE
323071666,155 BERKLEY STREET,155,BERKLEY STREET,,,,WALTHAM,308,02451,ACTIVE
323071667,156 BERKLEY STREET,156,BERKLEY STREET,,,,WALTHAM,308,02451,ACTIVE
323072456,15 BRIGHTWOOD ROAD,15,BRIGHTWOOD ROAD,,,,WALTHAM,308,02453,ACTIVE
323072471,61 BRIGHTWOOD ROAD,61,BRIGHTWOOD ROAD,,,,WALTHAM,308,02453,ACTIVE
323072484,3 BROOK ROAD,3,BROOK ROAD,,,,WALTHAM,308,02493,ACTIVE
323072485,11 BROOKFIELD ROAD,11,BROOKFIELD ROAD,,,,WALTHAM,308,02452,ACTIVE
323072500,15 BROOKLINE STREET (WATERTOWN),15,BROOKLINE STREET (WATERTOWN),,,,WALTHAM,308,02472,ACTIVE
323072509,8 BROOKWAY COURT,8,BROOKWAY COURT,,,,WALTHAM,308,02452,LINKED
323072511,10 BROOKWAY COURT,10,BROOKWAY COURT,,,,WALTHAM,308,02452,LINKED
