STREETNAME,zone,whole_street_in_zone,lowest_number_on_segment,highest_number_on_segment,notes
CHURCH STREET,9,FALSE,0,74,
CHURCH STREET,5,FALSE,75,10000,
CIRCLE DRIVE,2,TRUE,,,
CIRCUIT LANE,7,TRUE,,,
CLAREMONT STREET,4,TRUE,,,
CLARK LANE,5,TRUE,,,
CLARK STREET,10,TRUE,,,
CLEMATIS AVENUE,7,TRUE,,,
CLEMENTS ROAD,7,TRUE,,,
CLEVELAND ROAD,7,TRUE,,,
CLIFF ROAD,2,TRUE,,,
CLINTON STREET,10,TRUE,,,
CLOCKTOWER DRIVE,2,TRUE,,,
COLBURN STREET,8,TRUE,,,
COLLEGE FARM ROAD,4,TRUE,,,
COLONIAL AVENUE,10,TRUE,,,
COLUMBUS AVENUE,9,TRUE,,,
COMMON STREET,9,TRUE,,,
COOLIDGE AVENUE,2,TRUE,,,
COOPER STREET,10,TRUE,,,
COPELAND STREET,1,TRUE,,,
COPLEY AVENUE,2,TRUE,,,
COWASSET LANE,5,TRUE,,,
CRAFTS STREET,13,TRUE,,,
CRAIG LANE,5,TRUE,,,
CRAVEN CIRCLE,5,TRUE,,,
CRESCENT STREET,13,FALSE,1,188,
CRESCENT STREET,12,FALSE,188,10000,
CRESTVIEW ROAD,1,TRUE,,,
CROSS STREET,9,TRUE,,,
CUNNINGHAM CIRCLE,8,TRUE,,,
CURTIS STREET,12,TRUE,,,
CURVE STREET,5,TRUE,,,
CUSANO CIRCLE,1,TRUE,,,
CUSHING STREET,10,TRUE,,,
CUTTER STREET,10,TRUE,,,
CUTTING LANE,8,TRUE,,,
DALE CIRCLE,14,TRUE,,,
DALE STREET,14,FALSE,95,10000,
DALE STREET,5,FALSE,0,94,
DANIELS COURT,9,TRUE,,,
DARTMOUTH STREET,12,TRUE,,,
DATA DRIVE,-1,TRUE,,,Not on WALTHAMGIS map
DAWES STREET,2,TRUE,,,
DAY STREET,10,TRUE,,,
DEMEREST STREET,2,TRUE,,,
DENNISON STREET,12,TRUE,,,
DERBY STREET,13,TRUE,,,
DERMODY ROAD,8,TRUE,,,
DEXTER AVENUE,13,TRUE,,,
DEXTER STREET,13,TRUE,,,
DIX STREET,10,TRUE,,,
DOBBINS STREET,4,TRUE,,,
DOLORES AVENUE,5,TRUE,,,
DORCHESTER STREET,8,TRUE,,,
DOTY STREET,2,TRUE,,,
DOUGLAS ROAD,10,TRUE,,,
DREW STREET,12,TRUE,,,
DRURY LANE,2,TRUE,,,
DUDDY AVENUE,9,TRUE,,,
DWIGHT STREET,7,TRUE,,,
DWIGHT STREET (WATERTOWN),7,TRUE,,,
EDDY STREET,8,TRUE,,,
EDGE HILL ROAD,8,TRUE,,,
EDGEWATER DRIVE,12,TRUE,,,
EDWIN ROAD,7,TRUE,,,
ELINOR CIRCLE,2,TRUE,,,
ELLERY ROAD,7,TRUE,,,
ELLISON PARK,5,TRUE,,,
ELM AVENUE,8,TRUE,,,
ELM COURT,10,TRUE,,,
ELM STREET,9,FALSE,0,52,
ELM STREET,10,FALSE,53,10000,
ELMHURST TERRACE,7,TRUE,,,
ELMWOOD AVENUE,8,TRUE,,,
ELSON ROAD,8,TRUE,,,
EMERSON ROAD,5,TRUE,,,
EMERY STREET,5,TRUE,,,
EMMELINE AVENUE,2,TRUE,,,
ENDICOTT STREET,12,TRUE,,,
ESSEX STREET,1,TRUE,,,
EVERETT STREET,8,TRUE,,,
EVERGREEN AVENUE,10,TRUE,,,
EXCHANGE COURT,9,TRUE,,,
EXCHANGE STREET,9,FALSE,0,50,
EXCHANGE STREET,5,FALSE,51,10000,
FAIRFAX ROAD,7,TRUE,,,
FAIRMONT AVENUE,8,TRUE,,,
FAIRVIEW AVENUE,8,TRUE,,,
FALCONER CIRCLE,4,TRUE,,,
FALMOUTH ROAD,13,TRUE,,,
FANEUIL ROAD,5,TRUE,,,
FARNSWORTH AVENUE,14,TRUE,,,
FARNSWORTH STREET,14,TRUE,,,
FARNUM ROAD,7,TRUE,,,
FARWELL STREET,10,TRUE,,,
FELTON STREET,9,TRUE,,,
FENTON STREET,14,TRUE,,,
FERN STREET,9,TRUE,,,
FIFTH AVENUE,3,TRUE,,,
FIR AVENUE,4,TRUE,,,
FIRST AVENUE,3,TRUE,,,
FISKE AVENUE,8,TRUE,,,
FISKE STREET,9,FALSE,0,62,
FISKE STREET,5,FALSE,63,10000,
FLAGG CIRCLE,8,TRUE,,,
FLOOD STREET,10,TRUE,,,
FLORAL CIRCLE,7,TRUE,,,
FLORENCE ROAD,8,TRUE,,,
FLOYD STREET,9,TRUE,,,
FOREST CIRCLE,2,TRUE,,,
FOREST GROVE ROAD,12,TRUE,,,
FOREST PARK DRIVE,2,TRUE,,,
FOREST STREET,2,TRUE,,,
FOUNDRY AVENUE,10,TRUE,,,
FOUNTAIN STREET,9,TRUE,,,
FOURTH AVENUE,3,TRUE,,,
FOX ROAD,3,TRUE,,,
FRANCIS STREET,9,TRUE,,,
FREEMONT TERRACE,7,TRUE,,,
FRIEND STREET,10,TRUE,,,
FULLER STREET,13,TRUE,,,
GALE STREET,10,TRUE,,,
GALEN STREET,14,TRUE,,,
GARDEN CIRCLE,15,TRUE,,,
GARDEN LANE,15,TRUE,,,
GARDNER STREET,10,TRUE,,,
GATEHOUSE DRIVE,3,TRUE,,,
GENTLEMAN'S WAY,5,TRUE,,,
GEORGIAN ROAD,-1,TRUE,,,Weston
GIBBS COURT,9,TRUE,,,
GILBERT STREET,10,TRUE,,,
GILL ROAD,7,TRUE,,,
GILL ROAD (WATERTOWN),-1,TRUE,,,Watertown
GILMAN ROAD,2,TRUE,,,
GLEN CIRCLE,5,TRUE,,,
GOLDENCREST AVENUE,1,TRUE,,,
GORDON STREET,10,TRUE,,,
GORE STREET,10,TRUE,,,
GORHAM STREET,10,TRUE,,,
GORMAN'S COURT,5,TRUE,,,
GRANT AVENUE,7,TRUE,,,
GRANT PLACE,9,TRUE,,,
GRANT STREET,9,TRUE,,,
GRAYMORE ROAD,1,TRUE,,,
GREELEY'S COURT,5,TRUE,,,
GREEN STREET,8,TRUE,,,
GREENWOOD LANE,5,TRUE,,,
GREER STREET,2,TRUE,,,
GREGORY STREET,4,TRUE,,,
GROSVENOR ROAD,10,TRUE,,,
GROVE ROAD,1,TRUE,,,
GROVE STREET,10,TRUE,,,
GUINAN STREET,5,TRUE,,,
