STREETNAME,zone,whole_street_in_zone,lowest_number_on_segment,highest_number_on_segment,notes
THAYER ROAD,7,TRUE,,,
THIRD AVENUE,3,TRUE,,,
THORNTON ROAD,8,TRUE,,,
TIP TOP TERRACE,7,TRUE,,,
TOLMAN STREET,13,TRUE,,,
TOLMAN STREET (NEWTON),-1,TRUE,,,
TOMLIN STREET,14,TRUE,,,
TOTTEN CIRCLE,14,TRUE,,,
TOTTEN COURT,5,TRUE,,,
TOTTEN POND ROAD,5,TRUE,,,
TOWER ROAD,3,TRUE,,,
TOWNSEND STREET,9,TRUE,,,
TRAPELO ROAD,1,FALSE,1019,10000,
TRAPELO ROAD,2,FALSE,126,1018,
TRAPELO ROAD,7,FALSE,0,125,
TRIMOUNT AVENUE,4,TRUE,,,
TRINITY CIRCLE,7,TRUE,,,
TUDOR STREET,1,TRUE,,,
TURNER STREET,12,TRUE,,,
UNDERWOOD AVENUE (NEWTON),-1,TRUE,,,newton
UNDERWOOD PARK,13,TRUE,,,
UNIVERSITY PARK,8,TRUE,,,
UPLAND ROAD,8,TRUE,,,
UPTON ROAD,7,TRUE,,,
VALLEY VIEW ROAD,5,TRUE,,,
VAN VECHTEN STREET,2,TRUE,,,
VARNUM PARK,5,TRUE,,,
VERNON STREET,12,TRUE,,,
VERNON STREET,8,TRUE,,,
VESPER STREET,1,TRUE,,,
VILES COURT,9,TRUE,,,
VILLA STREET,8,TRUE,,,
VIRGINIA ROAD,8,TRUE,,,
WADSWORTH AVENUE,13,TRUE,,,
WALL STREET,10,TRUE,,,
WALNUT STREET,13,TRUE,,,
WALTON STREET,4,TRUE,,,
WAMPUM AVENUE,1,TRUE,,,
WAMSUTTA AVENUE,1,TRUE,,,
WARREN AVENUE,5,TRUE,,,
WARREN STREET,7,TRUE,,,
WARWICK AVENUE,2,TRUE,,,
WASHINGTON AVENUE,13,TRUE,,,
WASHINGTON AVENUE (NEWTON),-1,TRUE,,,newton
WATER STREET,9,TRUE,,,
WAVERLEY OAKS ROAD,7,TRUE,,,
WAVERLEY STREET,7,TRUE,,,
WAYNE AVENUE,7,TRUE,,,
WAYNE AVENUE (WATERTOWN),-1,TRUE,,,watertown
WEBSTER STREET,7,TRUE,,,
WEBSTER STREET (WATERTOWN),-1,TRUE,,,watertown
WEIR ROAD,4,TRUE,,,
WELLINGTON AVENUE,9,TRUE,,,
WELLINGTON STREET,9,TRUE,,,
WEST STREET,3,TRUE,,,
WESTBROOK CIRCLE,10,TRUE,,,
WESTGATE ROAD,8,TRUE,,,
WESTON STREET,8,TRUE,,,
WETHERBEE ROAD,8,TRUE,,,
WHEELOCK ROAD,12,TRUE,,,
WHEELOCK TERRACE,12,TRUE,,,
WHITCOMB STREET,10,TRUE,,,
WHITMAN ROAD,7,TRUE,,,
WHITTIER AVENUE,1,TRUE,,,
WIGHT STREET,2,TRUE,,,
WILBUR STREET,7,TRUE,,,
WILDWOOD LANE,5,TRUE,,,
WILLARD STREET,14,TRUE,,,
WILLIAMS STREET,9,TRUE,,,
WILLOW STREET,10,TRUE,,,
WILMOT ROAD,7,TRUE,,,
WILSON ROAD,7,TRUE,,,
WILTON STREET,7,TRUE,,,
WIMBLEDON CIRCLE,1,TRUE,,,
WINDSOR TERRACE,7,TRUE,,,
WINGATE ROAD,1,TRUE,,,
WINSOM AVENUE,10,TRUE,,,
WINTER STREET,4,TRUE,,,
WINTHROP STREET,8,TRUE,,,
WOBURN STREET,2,TRUE,,,
WOERD AVENUE,12,TRUE,,,
WOODCHESTER CIRCLE,1,TRUE,,,
WOODCHESTER ROAD,1,TRUE,,,
WOODCLIFF DRIVE,2,TRUE,,,
WOODLAND ROAD,8,TRUE,,,
WOODLAWN AVENUE,5,TRUE,,,
WORCESTER LANE,5,TRUE,,,
WYMAN STREET,3,TRUE,,,
WYOLA PROSPECT STREET,5,TRUE,,,
YETTEN TERRACE,10,TRUE,,,
